CRITERIA,PAIN_CAT,ICD_VERSION,ICD9_OR_10,ICD_DESC
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,A1801,Tuberculosis of spine
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,A1802,Tuberculous arthritis of other joints
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,A1803,Tuberculosis of other bones
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,A5216,Charcot's arthropathy (tabetic)
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,D481,Neoplasm of uncertain behavior of connective and other soft tissue
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E08610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E08618,Diabetes mellitus due to underlying condition with other diabetic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E09610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E09618,Drug or chemical induced diabetes mellitus with other diabetic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E10618,Type 1 diabetes mellitus with other diabetic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E11610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E11618,Type 2 diabetes mellitus with other diabetic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E13610,Other specified diabetes mellitus with diabetic neuropathic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,E13618,Other specified diabetes mellitus with other diabetic arthropathy
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0000,"Staphylococcal arthritis, unspecified joint"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00011,"Staphylococcal arthritis, right shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00012,"Staphylococcal arthritis, left shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00019,"Staphylococcal arthritis, unspecified shoulder"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00021,"Staphylococcal arthritis, right elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00022,"Staphylococcal arthritis, left elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00029,"Staphylococcal arthritis, unspecified elbow"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00031,"Staphylococcal arthritis, right wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00032,"Staphylococcal arthritis, left wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00039,"Staphylococcal arthritis, unspecified wrist"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00041,"Staphylococcal arthritis, right hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00042,"Staphylococcal arthritis, left hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00049,"Staphylococcal arthritis, unspecified hand"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00051,"Staphylococcal arthritis, right hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00052,"Staphylococcal arthritis, left hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00059,"Staphylococcal arthritis, unspecified hip"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00061,"Staphylococcal arthritis, right knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00062,"Staphylococcal arthritis, left knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00069,"Staphylococcal arthritis, unspecified knee"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00071,"Staphylococcal arthritis, right ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00072,"Staphylococcal arthritis, left ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M00079,"Staphylococcal arthritis, unspecified ankle and foot"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0008,"Staphylococcal arthritis, vertebrae"
Inclusion,Arthritis/Joint/Bone Pain (Other than Back/Neck),10,M0009,Staphylococcal polyarthritis
