"","year","dem_race_cond","chronic pain only","disability and chronic pain"
"1",2016,"AIAN_or_HPI",4374,1289
"2",2016,"Asian, non-Hispanic",3237,854
"3",2016,"Black, non-Hispanic",27096,15135
"4",2016,"Hispanic, all races",27391,8218
"5",2016,"Missing",16409,6479
"6",2016,"Multiracial, non-Hispanic",91,20
"7",2016,"White, non-Hispanic",110428,34569
"8",2017,"AIAN_or_HPI",4191,1274
"9",2017,"Asian, non-Hispanic",3465,843
"10",2017,"Black, non-Hispanic",21518,13332
"11",2017,"Hispanic, all races",27879,8352
"12",2017,"Missing",16103,6426
"13",2017,"Multiracial, non-Hispanic",113,30
"14",2017,"White, non-Hispanic",94715,31980
"15",2018,"AIAN_or_HPI",3736,1236
"16",2018,"Asian, non-Hispanic",3317,865
"17",2018,"Black, non-Hispanic",20243,12336
"18",2018,"Hispanic, all races",26360,8252
"19",2018,"Missing",14829,6238
"20",2018,"Multiracial, non-Hispanic",94,20
"21",2018,"White, non-Hispanic",84341,29827
"22",2019,"AIAN_or_HPI",3293,1171
"23",2019,"Asian, non-Hispanic",3056,810
"24",2019,"Black, non-Hispanic",21772,14615
"25",2019,"Hispanic, all races",24850,8353
"26",2019,"Missing",14015,6019
"27",2019,"Multiracial, non-Hispanic",82,16
"28",2019,"White, non-Hispanic",83683,31576
